run_tag,trace,tool,format,repeat,seconds,output_bytes,status
run_20260717_215321,s16_11.6GiB,c,CSV,1,527.947,28883388366,0
run_20260717_215321,s16_11.6GiB,fastotf2,CSV,1,59.903,36127869202,0
run_20260717_215321,s16_11.6GiB,fastotf2,PARQUET,1,45.697,6106522381,0
run_20260717_215321,s16_11.6GiB,python,CSV,1,4720.479,28913090192,0
run_20260717_215321,s16_11.6GiB,python,PARQUET,1,4811.947,5079460534,0
run_20260717_215321,s2_0.7GiB,c,CSV,1,25.105,1823824762,0
run_20260717_215321,s2_0.7GiB,fastotf2,CSV,1,11.763,2282852436,0
run_20260717_215321,s2_0.7GiB,fastotf2,PARQUET,1,7.814,396347284,0
run_20260717_215321,s2_0.7GiB,python,CSV,1,275.918,1825282088,0
run_20260717_215321,s2_0.7GiB,python,PARQUET,1,284.399,322954373,0
run_20260717_215321,s32_32.7GiB,c,CSV,1,2001.077,82881951587,0
run_20260717_215321,s32_32.7GiB,fastotf2,CSV,1,112.781,104446350044,0
run_20260717_215321,s32_32.7GiB,fastotf2,PARQUET,1,80.904,17451332551,0
run_20260717_215321,s4_1.9GiB,c,CSV,1,72.148,5337384105,0
run_20260717_215321,s4_1.9GiB,fastotf2,CSV,1,17.227,6726236877,0
run_20260717_215321,s4_1.9GiB,fastotf2,PARQUET,1,11.347,1109853172,0
run_20260717_215321,s4_1.9GiB,python,CSV,1,769.277,5341349133,0
run_20260717_215321,s4_1.9GiB,python,PARQUET,1,793.781,907173502,0
run_20260717_215321,s8_5.5GiB,c,CSV,1,216.289,15926790713,0
run_20260717_215321,s8_5.5GiB,fastotf2,CSV,1,31.232,20383474497,0
run_20260717_215321,s8_5.5GiB,fastotf2,PARQUET,1,22.277,3230524561,0
run_20260717_215321,s8_5.5GiB,python,CSV,1,2245.627,15937996809,0
run_20260717_215321,s8_5.5GiB,python,PARQUET,1,2348.36,2638375853,0
